Day fraction since midnight on 7/15/2019	Fluoride Probe (volts)	Fluoride Concentration (mg/L)	pH (volts)	Turbidity (1)	Time (sec)
0.51557209	0.1388624	0.413938635	-0.02857113	0.12	6954.977952
0.51562997	0.13907756	0.409955347	-0.02870736	0.13	6959.978784
0.51568784	0.13912177	0.409141641	-0.02883765	0.12	6964.978752
0.5157457	0.13943699	0.403386486	-0.02896325	0.12	6969.977856
0.51580358	0.13922933	0.407168685	-0.02908908	0.12	6974.978688
0.51586147	0.13896129	0.412103086	-0.02920595	0.12	6979.980384
0.51591934	0.13951871	0.401907736	-0.02935183	0.12	6984.980352
0.5159772	0.13971427	0.398390987	-0.02948184	0.12	6989.979456
0.51603508	0.13894632	0.412380429	-0.02958631	0.12	6994.980288
0.51609295	0.13839699	0.422687738	-0.02969843	0.12	6999.980256
Floc blanket height: 6 cm		212.4207106			#VALUE!
0.51615082	0.13874251	0.416174942	-0.02981611	0.12	7004.980224
0.51620869	0.13904566	0.410543487	-0.02996852	0.12	7009.980192
0.51626656	0.13870749	0.416830447	-0.03006272	0.12	7014.98016
0.51632445	0.13866745	0.417581182	-0.03021347	0.12	7019.981856
0.51638231	0.13780317	0.434119797	-0.03031145	0.11	7024.98096
0.51644018	0.13896309	0.412069751	-0.03046929	0.12	7029.980928
0.51649806	0.13883114	0.414520566	-0.03056862	0.12	7034.98176
0.51655592	0.13868837	0.417188771	-0.03067239	0.12	7039.980864
0.5166138	0.13859224	0.418994997	-0.03077035	0.12	7044.981696
0.51667167	0.1389486	0.412338176	-0.03086661	0.12	7049.981664
0.51672956	0.13830756	0.424389967	-0.0309935	0.12	7054.98336
0.51678743	0.13846929	0.421316557	-0.0310857	0.12	7059.983328
0.5168453	0.13925622	0.406676934	-0.03122253	0.12	7064.983296
0.51690318	0.13829492	0.424631112	-0.03128687	0.12	7069.984128
0.51696104	0.1388482	0.414202878	-0.03143508	0.12	7074.983232
0.51701891	0.13874339	0.416158484	-0.0315245	0.12	7079.9832
0.51707678	0.1384943	0.420843275	-0.03162556	0.12	7084.983168
0.51713467	0.13824528	0.425579465	-0.03174024	0.12	7089.984864
0.51719253	0.13825139	0.425462622	-0.03184731	0.12	7094.983968
0.51725041	0.13868447	0.417261898	-0.03196824	0.12	7099.9848
0.51730829	0.13812949	0.42779983	-0.03204601	0.14	7104.985632
0.51736614	0.13814104	0.42757783	-0.03212233	0.14	7109.983872
0.51742403	0.13826132	0.425272796	-0.03223569	0.13	7114.985568
0.51748191	0.13797553	0.430770086	-0.03228582	0.13	7119.9864
0.51753978	0.13798727	0.430542869	-0.03240653	0.13	7124.986368
0.51759764	0.1381536	0.427336549	-0.03254442	0.12	7129.985472
0.51765551	0.13753743	0.4393354	-0.03260915	0.12	7134.98544
0.5177134	0.13730654	0.443917859	-0.03270675	0.12	7139.987136
0.51777125	0.13755371	0.439014083	-0.03280954	0.12	7144.985376
0.51782914	0.13755907	0.438908344	-0.03290211	0.12	7149.987072
0.51788702	0.13781725	0.433845186	-0.03300594	0.12	7154.987904
0.51794488	0.13701358	0.44980108	-0.03308158	0.13	7159.987008
0.51800274	0.1370744	0.448573314	-0.0331485	0.13	7164.986112
0.51806062	0.13696384	0.450807673	-0.03322969	0.13	7169.986944
0.5181185	0.1371056	0.447944784	-0.03336976	0.13	7174.987776
0.51817636	0.1374498	0.441068991	-0.03347993	0.13	7179.98688
0.51823425	0.1366829	0.456535521	-0.03356396	0.13	7184.988576
0.51829213	0.13679262	0.454289922	-0.03364513	0.13	7189.989408
0.51834999	0.13684772	0.45316638	-0.03375509	0.13	7194.988512
0.51840785	0.13717301	0.446589803	-0.03384927	0.13	7199.987616
0.51846574	0.13704363	0.449194044	-0.03393567	0.12	7204.989312
0.51852361	0.13664028	0.457410799	-0.03396892	0.14	7209.98928
0.51858147	0.13640456	0.462282127	-0.03404327	0.13	7214.988384
0.51863936	0.13725895	0.444868299	-0.03415327	0.13	7219.99008
0.51869724	0.13640946	0.462180339	-0.03418485	0.13	7224.990912
0.5187551	0.13729048	0.444238373	-0.03428787	0.13	7229.990016
0.51881296	0.13603847	0.4699507	-0.03431015	0.13	7234.98912
0.51887084	0.13588624	0.473176825	-0.03436463	0.12	7239.989952
0.51892873	0.136337	0.463687845	-0.03442978	0.12	7244.991648
0.51898659	0.1359068	0.472739818	-0.03450032	0.12	7249.990752
0.51904447	0.1361552	0.467491815	-0.03459209	0.13	7254.991584
0.51910233	0.1360171	0.470402252	-0.03458042	0.13	7259.990688
0.5191602	0.13607773	0.469122259	-0.0346659	0.13	7264.990656
0.51921809	0.13596882	0.471424015	-0.03472694	0.13	7269.992352
0.51927595	0.13700107	0.450054034	-0.03478847	0.13	7274.991456
0.51933383	0.13627584	0.464964085	-0.03478076	0.12	7279.992288
0.51939169	0.13578278	0.475382025	-0.03484885	0.13	7284.991392
0.51944957	0.13556087	0.480146655	-0.03491159	0.12	7289.992224
Floc blanket height: 9 cm		212.4207106			#VALUE!
0.51950744	0.13529336	0.485953888	-0.03493951	0.12	7294.992192
0.51956533	0.13496199	0.493244905	-0.03499431	0.12	7299.993888
0.5196232	0.13519073	0.488200424	-0.03500312	0.12	7304.993856
0.51968106	0.13530809	0.485632302	-0.03503247	0.12	7309.99296
0.51973896	0.13437241	0.506488741	-0.03504898	0.12	7314.99552
0.51979681	0.13548024	0.481889664	-0.03507444	0.12	7319.99376
0.51985468	0.13445842	0.504534753	-0.03505819	0.12	7324.993728
0.51991257	0.13467708	0.499601079	-0.03507548	0.12	7329.995424
0.51997044	0.1343489	0.50702416	-0.03507712	0.11	7334.995392
0.52002831	0.1350847	0.490532293	-0.03515019	0.12	7339.99536
0.52008617	0.13376375	0.520534331	-0.03508409	0.11	7344.994464
0.52014406	0.13437819	0.506357193	-0.03512555	0.11	7349.99616
0.52020191	0.13419002	0.510657377	-0.03512421	0.11	7354.9944
0.52025979	0.13411273	0.512434222	-0.03512574	0.11	7359.995232
0.52031768	0.13365278	0.52313677	-0.03510357	0.11	7364.996928
0.52037554	0.13457638	0.501867174	-0.03514101	0.12	7369.996032
0.5204334	0.13319939	0.533905422	-0.03505673	0.12	7374.995136
0.52049128	0.13353185	0.525987605	-0.03507715	0.12	7379.995968
0.52054917	0.13388421	0.517723988	-0.03503556	0.12	7384.997664
0.52060702	0.13260281	0.548413506	-0.03497209	0.12	7389.995904
0.5206649	0.13324711	0.532761645	-0.03495566	0.12	7394.996736
0.52072279	0.13383526	0.518864162	-0.03494924	0.12	7399.998432
0.52078065	0.1325098	0.550710648	-0.03485632	0.12	7404.997536
0.52083851	0.13244213	0.552387993	-0.03481623	0.12	7409.99664
0.5208964	0.13229831	0.555969864	-0.03477181	0.11	7414.998336
0.52095427	0.1323691	0.554203929	-0.03473107	0.11	7419.998304
0.52101213	0.13207091	0.561680768	-0.03470121	0.11	7424.997408
0.52107001	0.13265155	0.547213564	-0.03467952	0.11	7429.99824
0.5211279	0.13187298	0.566699295	-0.03457462	0.11	7434.999936
0.52118577	0.13101585	0.588954567	-0.03445151	0.11	7439.999904
0.52124364	0.13184442	0.567427128	-0.03441232	0.11	7444.999872
0.52130151	0.13183746	0.567604641	-0.03436273	0.11	7449.99984
0.52135938	0.13151358	0.575926813	-0.03427137	0.11	7454.999808
0.52141724	0.13191326	0.565674372	-0.03426421	0.11	7459.998912
0.52147513	0.13121361	0.583743413	-0.03415041	0.11	7465.000608
0.52153301	0.13245921	0.551964147	-0.03405315	0.11	7470.00144
0.52159087	0.12885042	0.649151092	-0.03384487	0.11	7475.000544
0.52164875	0.13218361	0.558843135	-0.0339137	0.11	7480.001376
0.52170662	0.1298908	0.619498231	-0.03373816	0.11	7485.001344
0.52176449	0.13346463	0.527578979	-0.0337589	0.11	7490.001312
0.52182236	0.13147964	0.576805942	-0.0335774	0.11	7495.00128
0.52188024	0.12877233	0.65143325	-0.03338941	0.11	7500.002112
0.52193812	0.12751092	0.689429112	-0.03328176	0.11	7505.002944
0.52199599	0.12748435	0.690252838	-0.03315506	0.11	7510.002912
0.52205386	0.12818076	0.668984335	-0.03313438	0.11	7515.00288
0.52211173	0.13132232	0.580898472	-0.03313813	0.11	7520.002848
0.52216961	0.13266818	0.546804747	-0.03304331	0.11	7525.00368
0.52222747	0.13102676	0.58866587	-0.03291994	0.11	7530.002784
0.52228535	0.12824795	0.666967329	-0.03265582	0.11	7535.003616
0.52234323	0.12950954	0.630204284	-0.03262868	0.11	7540.004448
0.5224011	0.12937748	0.633955604	-0.03246269	0.11	7545.004416
0.52245895	0.12857975	0.657095694	-0.03233208	0.14	7550.002656
0.52251683	0.12937988	0.63388723	-0.03224446	0.12	7555.003488
0.52257472	0.12961237	0.627298654	-0.03211582	0.12	7560.005184
0.52263258	0.12911279	0.641541801	-0.03196229	0.12	7565.004288
0.52269045	0.12889783	0.647769451	-0.0318648	0.11	7570.004256
0.52274832	0.12938584	0.633717468	-0.031735	0.11	7575.004224
0.5228062	0.127939	0.676292426	-0.03155061	0.11	7580.005056
0.52286406	0.12909362	0.642094739	-0.03146995	0.11	7585.00416
0.52292194	0.12927924	0.636760704	-0.03135084	0.12	7590.004992
0.52297982	0.12895954	0.645975477	-0.03118884	0.11	7595.005824
0.52303768	0.12871197	0.653202749	-0.03104186	0.11	7600.004928
Floc blanket height: 16.5 cm		212.4207106			#VALUE!
0.52309556	0.12756439	0.687774409	-0.03085399	0.11	7605.00576
0.52315345	0.12781712	0.680006915	-0.03072069	0.1	7610.007456
0.52321129	0.12791011	0.677171056	-0.03060531	0.11	7615.004832
0.52326917	0.12853688	0.658362886	-0.03048053	0.11	7620.005664
0.52332705	0.12791537	0.677010999	-0.03034781	0.11	7625.006496
0.52338493	0.12791431	0.677043251	-0.03016045	0.11	7630.007328
0.52344279	0.12668729	0.715426298	-0.02999089	0.11	7635.006432
0.52350067	0.12778702	0.680927398	-0.02986862	0.11	7640.007264
0.52355854	0.12656809	0.719269091	-0.0297245	0.1	7645.007232
0.52361642	0.12753916	0.688554691	-0.02957189	0.1	7650.008064
0.52367427	0.12739953	0.692889027	-0.02947646	0.1	7655.006304
0.52373217	0.12655742	0.719614078	-0.02924882	0.1	7660.008864
0.52379005	0.12677047	0.712756893	-0.02914982	0.1	7665.009696
0.5238479	0.12711376	0.70184503	-0.02900282	0.1	7670.007936
0.52390578	0.12690552	0.708444077	-0.02886589	0.1	7675.008768
0.52396365	0.12640961	0.724410184	-0.02866952	0.1	7680.008736
0.52402154	0.12586477	0.742366758	-0.02850327	0.1	7685.010432
0.52407939	0.12587948	0.741876156	-0.02836674	0.1	7690.008672
0.52413728	0.12604144	0.736495915	-0.02822461	0.1	7695.010368
0.52419515	0.12582715	0.743622923	-0.02805827	0.1	7700.010336
0.52425301	0.12686375	0.709775205	-0.02788812	0.1	7705.00944
0.5243109	0.12608407	0.735086263	-0.02775333	0.1	7710.011136
0.52436876	0.12570551	0.747699155	-0.02757185	0.11	7715.01024
0.52442665	0.1254957	0.754782597	-0.02738656	0.11	7720.011936
0.52448452	0.12618443	0.731778289	-0.02730183	0.1	7725.011904
0.52454238	0.12512879	0.767331595	-0.02710782	0.1	7730.011008
0.52460027	0.1259737	0.738741445	-0.02698448	0.1	7735.012704
0.52465813	0.12464797	0.784092922	-0.02677106	0.12	7740.011808
0.52471601	0.12627305	0.728869657	-0.02667997	0.11	7745.01264
0.52477387	0.12469116	0.782572475	-0.02648456	0.11	7750.011744
0.52483176	0.12574604	0.746338494	-0.02631573	0.1	7755.01344
0.52488961	0.12527543	0.762291399	-0.02615957	0.1	7760.01168
0.5249475	0.12453816	0.787971956	-0.02599729	0.1	7765.013376
0.52500537	0.12461139	0.785382984	-0.02585448	0.1	7770.013344
0.52506323	0.12462754	0.784813162	-0.02570183	0.12	7775.012448
0.52512112	0.12492675	0.774330591	-0.02554728	0.11	7780.014144
0.52517899	0.12445255	0.791009434	-0.02536897	0.11	7785.014112
0.52523686	0.12500888	0.771477805	-0.02525975	0.1	7790.01408
0.52529472	0.12439331	0.793118145	-0.02509706	0.1	7795.013184
0.52535261	0.12437861	0.793642277	-0.02494993	0.1	7800.01488
0.52541048	0.12391432	0.810376095	-0.02476851	0.11	7805.014848
0.52546835	0.12439171	0.793175177	-0.02462314	0.11	7810.014816
0.52552623	0.12484445	0.777199863	-0.02450024	0.1	7815.015648
0.52558407	0.12410342	0.803518431	-0.02431876	0.1	7820.013024
0.52564195	0.12416638	0.801248104	-0.02416978	0.1	7825.013856
0.52569983	0.1250293	0.77077015	-0.02404511	0.1	7830.014688
0.52575772	0.12431429	0.795939699	-0.02389974	0.1	7835.016384
0.5258156	0.12384589	0.812872087	-0.02371834	0.09	7840.017216
0.52587346	0.12404513	0.805626093	-0.02352785	0.09	7845.01632
0.52593134	0.12365703	0.819800738	-0.02339434	0.09	7850.017152
0.5259892	0.12456708	0.786948501	-0.02328748	0.09	7855.016256
0.52604709	0.12399162	0.807565786	-0.02309282	0.1	7860.017952
0.52610494	0.12388519	0.811437677	-0.02296567	0.1	7865.016192
0.52616283	0.12356059	0.823361551	-0.02278567	0.1	7870.017888
0.5262207	0.1237392	0.816778963	-0.02264559	0.1	7875.017856
0.52627856	0.12368084	0.818923985	-0.02253363	0.09	7880.01696
0.52633643	0.12409937	0.803664694	-0.02237371	0.1	7885.016928
0.52639431	0.12353384	0.824351966	-0.02222723	0.1	7890.01776
0.5264522	0.12367948	0.818974039	-0.02204549	0.1	7895.019456
0.52651005	0.12358781	0.822354955	-0.02191514	0.09	7900.017696
0.52656794	0.12402572	0.80632915	-0.02177195	0.09	7905.019392
0.52662582	0.1235247	0.824690647	-0.02163747	0.09	7910.020224
0.52668368	0.12356202	0.823308639	-0.0214536	0.09	7915.019328
0.52674156	0.12412319	0.802804836	-0.02131357	0.09	7920.02016
0.52679943	0.12422451	0.799157642	-0.02120016	0.1	7925.020128
0.52685731	0.12401696	0.806646651	-0.02107853	0.11	7930.02096
0.52691516	0.12308746	0.841056061	-0.0209174	0.1	7935.0192
Floc blanket height: 27 cm		212.4207106			#VALUE!
0.52697304	0.12357225	0.822930213	-0.02077864	0.1	7940.020032
0.52703092	0.1227518	0.853839462	-0.02061288	0.1	7945.020864
0.52708879	0.12324598	0.835085638	-0.02046301	0.1	7950.020832
0.52714667	0.12263191	0.858452338	-0.02034734	0.1	7955.021664
0.52720454	0.12309141	0.840906773	-0.02022877	0.1	7960.021632
0.52726241	0.1225945	0.859896817	-0.02009197	0.1	7965.0216
0.52732027	0.1230275	0.843325476	-0.01990979	0.09	7970.020704
0.52737815	0.12192493	0.886165303	-0.01978835	0.09	7975.021536
0.52743604	0.12276838	0.853203486	-0.01966357	0.09	7980.023232
0.52749389	0.12256793	0.860924217	-0.01951984	0.09	7985.021472
0.52755177	0.12266186	0.857297655	-0.01940922	0.09	7990.022304
0.52760965	0.1222055	0.875061725	-0.01927028	0.09	7995.023136
0.52766752	0.1221396	0.877657156	-0.01912473	0.09	8000.023104
0.52772538	0.12249656	0.863690008	-0.01901257	0.09	8005.022208
0.52778326	0.12239975	0.867455878	-0.01887817	0.09	8010.02304
0.52784114	0.12188455	0.8877749	-0.01873426	0.09	8015.023872
0.527899	0.12227918	0.87216897	-0.0186168	0.09	8020.022976
0.52795689	0.12218874	0.875721078	-0.01849191	0.09	8025.024672
0.52801475	0.12214125	0.877592078	-0.01836531	0.09	8030.023776
0.52807263	0.12228862	0.871799037	-0.01826336	0.09	8035.024608
0.52813049	0.12198467	0.883789342	-0.01811838	0.09	8040.023712
0.52818837	0.12168031	0.895961064	-0.01797154	0.09	8045.024544
0.52824626	0.12172643	0.89410595	-0.01781633	0.09	8050.02624
0.52830412	0.12228341	0.872003186	-0.01772754	0.09	8055.025344
0.52836199	0.12159576	0.899371974	-0.01759704	0.09	8060.025312
0.52841986	0.121523	0.902317646	-0.01747556	0.09	8065.02528
0.52847774	0.12160757	0.898894757	-0.0173641	0.09	8070.026112
0.52853562	0.1221396	0.877657156	-0.01726783	0.09	8075.026944
0.52859348	0.12159608	0.89935904	-0.01710355	0.09	8080.026048
0.52865137	0.12189775	0.88724841	-0.01700509	0.09	8085.027744
0.52870922	0.12146398	0.904714143	-0.01690381	0.09	8090.025984
0.5287671	0.12197234	0.884279205	-0.01678006	0.09	8095.026816
0.52882496	0.12172613	0.894118005	-0.01664717	0.09	8100.02592
0.52888284	0.12133569	0.909945313	-0.01652326	0.09	8105.026752
0.52894071	0.12152264	0.902332245	-0.01639393	0.09	8110.02672
0.5289986	0.12142667	0.906232392	-0.01629332	0.09	8115.028416
0.52905644	0.12043978	0.947330034	-0.01618928	0.09	8120.025792
0.52911434	0.12162188	0.898316859	-0.01610547	0.09	8125.028352
0.52917221	0.12131934	0.910614173	-0.0159776	0.09	8130.02832
0.52923009	0.12142999	0.906097188	-0.01587013	0.09	8135.029152
0.52928797	0.12154599	0.90138586	-0.01572939	0.09	8140.029984
0.5293458	0.12137285	0.908426968	-0.01563332	0.09	8145.026496
0.52940371	0.12142575	0.906269861	-0.01552765	0.09	8150.02992
0.52946158	0.12075011	0.934209779	-0.01533808	0.09	8155.029888
0.52951945	0.12066873	0.937632714	-0.01522071	0.09	8160.029856
0.52957732	0.12081142	0.931639267	-0.01514655	0.09	8165.029824
0.5296352	0.12116204	0.917074302	-0.01505677	0.09	8170.030656
0.52969308	0.12088439	0.928589109	-0.01493347	0.09	8175.031488
0.52975093	0.12124205	0.913782677	-0.0147898	0.09	8180.029728
0.52980882	0.12126132	0.912991673	-0.0147081	0.09	8185.031424
0.52986669	0.12121941	0.91471289	-0.01458701	0.09	8190.031392
0.52992455	0.12103428	0.922354971	-0.01447787	0.09	8195.030496
0.52998243	0.12034758	0.951263491	-0.0143331	0.09	8200.031328
0.5300403	0.12114576	0.917745514	-0.01430754	0.09	8205.031296
0.53009819	0.12085664	0.929747885	-0.01413167	0.09	8210.032992
0.53015602	0.12089978	0.927947081	-0.01405318	0.09	8215.029504
0.53021393	0.12054278	0.942955056	-0.01394042	0.09	8220.032928
0.53027181	0.12142743	0.90620144	-0.01386285	0.09	8225.03376
0.53032966	0.12124018	0.913859474	-0.01374632	0.09	8230.032
0.53038754	0.12124074	0.913836475	-0.01366924	0.09	8235.032832
Floc blanket height: 32 cm		212.4207106			#VALUE!
0.53044542	0.12070697	0.936022737	-0.01353627	0.09	8240.033664
0.5305033	0.12093028	0.926676016	-0.01343559	0.09	8245.034496
0.53056117	0.12042727	0.947862783	-0.01333315	0.09	8250.034464
0.53061904	0.12084077	0.93041123	-0.01324247	0.09	8255.034432
0.53067692	0.12081336	0.931558045	-0.01313154	0.09	8260.035264
0.53073477	0.12096843	0.925088595	-0.01301708	0.09	8265.033504
